Test language,CEFR level of test,Mother tongue,Overall CEFR rating,Grammatical accuracy,Orthography,Vocabulary range,Vocabulary control,Coherence/Cohesion,Sociolinguistic appropriateness,Learner text,Filename
German,C1,Portuguese,B1,B2,B1,B2,B2,B2,B1,Kultur??? Je mehr ... desto Besser!,1031_0003359.txt
German,A2,Arabic,A2,A2,B2,A2,A2,B1,A2,"stadt X 05,01'2012",1091_0000020.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,B1,"Stadt X, 9. March",1061_0120858.txt
German,C1,Russian,B2,B2,B2,C1,B2,B2,C1,"Sehr geehrte Damen und Herren,",1031_0003012.txt
German,B2,other,B2,B2,B2,B2,B2,B1,B2,Eva Müller Winkelmann,1023_0108992.txt
German,B1,not reported,A2,A2,A2,B1,B1,B1,B1,Stadt X 27.02.012,1061_1029120.txt
German,C1,Russian,C1,C1,C1,C1,C1,C1,C1,Das Schreiben ist an die,1031_0003184.txt
German,B2,Spanish,B2,B2,C1,B2,B2,B1,B2,"Donnerstag, 27. Oktober 2011",1023_0109891.txt
German,C1,Hungarian,C1,C1,C2,C1,C1,C1,C1,"Ich finde das Thema besonders intressant, weil im vorigen Jahr habe ich in Deutschland gelebt, wo viele Einwanderer verschiedener Nationen neben den Deutschen wohnen. Ich kenne sogar eine da lebende türkische Familie, die mit diesem Thema sehr modern umgeht. Ich finde, dass ihre Theorie hervorragend ist. Schon am Anfang an hat der Vater es für sehr wichtig gehalten, die Familie in die deutsche Gesellschaft zu integrieren, und deshalb sind sie in ein mittelgroßes Dorf gezogen, wo nur die Türken sind. Zu Hause folgen sie die türkischen Traditionen, das HiearchieSystem ist gegeben, sie beten regelmäßig und sprechen untereinander auf Türkisch. Aber wenn sie das Haus verlassen, tragen sie normale alltägliche Kleidungsstücke und sprechen ausschließlich auf Deutsch. Sie wollen es zeigen, dass obwohl sie aus der Türkei stammen, sind sie Mitglieder der deutschen Gesellschaft, und möchten auf keinen Fall isoliert werden. Bei ihnen sind die Kinder nicht verwirrt, ob sie 100 Prozentig Türken sind oder nicht. Beide Eltern haben an Deutschkursen teilgenommen, die vom Staat organisiert wurde. Ihre Kinder besuchen deutschsprachige Schulen und haben deutsche Freunden. Wie das genannte Beispiel zeigt, kann man das Gleichgewicht finden. In so einem liberalischen Staat wie Deutschland, wo die Einwanderer die Möglichkeit habe in Freiheit zu leben, sollten die Minderheiten zeigen, dass auch sie die Wille haben integriert zu werden. Das Problem shteht oft dann, dass die verschiedene Minderheiten im bestimmten Viertel einer Großstadt leben, sie treffen sich nur mit den da Lebenden, und sie müssen ihre Gegend nicht verlassen um etwas zu erledigen. Die Gefahr steht darin, dass sie ihre ganzes leben lang isoliert leben. Ohne geegnite Sprachkenntnisse z.B. in Deutsch, oder Fachkenntnisse finden Sie keinen Arbeitsplatz, und sie erheben nur di Zahl der Arbeitslosen, und belasten durch ihre Stlaatlichen finanziellen Unterstützung das Staat. Die Situation führt dazu, dass die Einheimischen die Menschen nicht sympathisch finden und willen mit ihnen kein Kontakt knüpfen.",1031_0003239.txt
German,A2,not reported,B1,A2,B1,A2,A2,A2,A2,Friedrich Winkelmann                             den 10 April 2012,1091_0000216.txt
German,C1,other,B2,B2,B2,C1,B2,C1,B2,"Stadt X, den 17.12.2011",1031_0003355.txt
German,A1,Portuguese,A1,A1,A2,A1,A1,A1,A1,"Liebe Daniela,",1071_0242043.txt
German,B2,other,B2,B2,C2,B2,C1,B2,B2,Katharina Müller,1023_0109422.txt
German,A1,Spanish,A2,A2,B1,B1,A2,A2,B1,Lieber Freund,1071_0024713.txt
German,B1,not reported,B2,B1,B2,B2,B2,B2,B2,"Stadt X, 09.03.12.",1061_0120875.txt
German,A1,English,A2,B1,B1,B1,A2,A2,A2,16.03.2012,1071_0024802.txt
German,B2,French,B2,B2,C1,C1,B2,B2,B2,"Stadt X, 28. Oktober 2011",1023_0109880.txt
German,B1,Arabic,A2,A2,B1,A2,A2,A2,A2,lieber Dana.,1061_0120280.txt
German,C1,Hungarian,B2,B2,C1,B2,B2,B2,B2,In dem 21. Jahrhundert liegt es voll im Trend ins Ausland zu fahren.,1031_0003237.txt
German,B1,Polish,B1,B1,B2,B1,B1,B2,B2,"Stadt X, den 13.03.2012",1061_0120431.txt
German,B1,Russian,B1,B1,B2,B1,B1,B1,B1,"Stadt X, den 22. Februar 2012",1061_0120299.txt
German,A1,not reported,A1,A1,A2,A1,A1,A2,A1,Liber Michael.,1071_0024683.txt
German,A2,not reported,A2,B1,B1,B1,B1,B1,B1,"Sehr geehrte Damen und Herren,",1091_0000198.txt
German,A2,not reported,B1,A2,B1,B1,A2,A2,A2,"Meine Liebe Maria,",1091_0000154.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B2,Stadt X 26.03.12,1061_0120885.txt
German,B2,Polish,B2,B2,C1,B2,B2,B2,B2,Katharina Meier,1023_0103826.txt
German,B2,French,B2,B1,C1,B2,B2,B2,B2,Julia Winkelmann,1023_0107244.txt
German,B2,Portuguese,B1,B1,B1,B1,B1,B1,B1,Eva Julia Winkelmann Meier,1023_0101904.txt
German,A1,Polish,A2,A2,B1,B1,A2,A2,A2,"Stadt X, 26.04.2012",1071_0024779.txt
German,C1,English,B2,B2,C1,B2,B2,B2,B2,In Stadt X wohnen,1031_0003356.txt
German,A2,not reported,B1,B1,B1,B1,A2,B1,B1,12.03.12.,1091_0000230.txt
German,C1,Hungarian,B2,B2,C2,C1,B2,B2,B2,"Meiner Meinung nach, ist es nicht so einfache Entscheidung mit der Traditionen. Wenn man auf einem fremden Land lebt, soll man die Traditionen von dem neuen Heimat berücksichtigen. Alle Länder haben eigene Feste und Traditionen und am liebsten würde man diese Traditionen ihres Heimatlandes fortzusetzen. Man soll nur Deutschland anschauen., Ich war schon dort und ich kann ruhig sagen, dass es wenig so Land gibt, wo die Leuten so gemischt sind wie dort. Ich habe mit Leuten von alle Strecke der Welt dort getroffen, und ich habe mit Deutschen darüber gesprochen, wie kann man diese unterschiedliche Kulturen und Traditionen im eigenen Land akzeptieren. Es hat mir gewundert, dass sie eigentlich damit keine Probleme haben aber es gibt doch Auseinandersetzung, wenn die einheimische Traditionen unsere Umgebung stört. Zum Beispiel die türkische Frauen mit Kopftuch, Im Büro, in der Polizei, oder im Flughafen sind sie nicht richtig erkennbar. Und in solche Situationen muss man verstehen, dass man einige Traditionen nicht forzusetzen soll.",1031_0003226.txt
German,A1,Arabic,A1,A1,A2,A2,A1,A1,A1,mein Freund gestern hat kegommt ein Baby sein Baby ist schön und ich Freue euch und Ich wünsche dir von sein Baby geboren Baby heißt Maria Hezlichen Glück wünsch von Baby. Höffntlich Hochzeit Tag.,1071_0248319.txt
German,C1,Russian,B2,B2,C1,C1,B2,B2,B2,"Ich beschäftige mich mit der Frage „Ist es sinnvoll, auch im Ausland die Traditionen seines Heimatlandes fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?"" Diese Frage ist sehr aktuell und berührt alle Emmigranten. Von besonderer Bedeutung ist für mich, in Deutschland zu integrieren. Das bedeutet vor allem, man sollte deutsche Sprache lernen, die deutsche Kultur kennenlernen und neuen Freunden finden.",1031_0002085.txt
German,C1,other,B1,B1,B2,B2,B2,B2,B1,Was für Ausländer wichtig ist?,1031_0002200.txt
German,A2,Polish,B1,A2,B1,A2,A2,A2,A2,"Liebe Maria,",1091_0000059.txt
German,A1,not reported,A1,0,A1,A1,A1,0,A1,"Liebe Jens,",1071_0248318.txt
German,B1,Hungarian,B1,A2,B1,B1,B1,B1,B1,Stadt X 13.03.2012,1061_0120430.txt
German,C1,Hungarian,B2,B2,C1,B2,B2,B2,B2,"Die Traditionen seines Heimatlandes fortsetzen im Ausland? Oder Orientierung an der Kultur des Gastlandes? Das ist ein schwere Frage für mich, weil ich immer in meinem Heimatland lebte. Aber ich habe eine mongolische Freundin, die 6 oder 7 Jahr alt war, wenn sie und ihre Familie nach Ungarn kamen. Sie war noch sehr jung, und sie konnte sich schnell „zu Hause fühlen"".z.B. wenn wir in der Schule eine „Weihnachtenparty machten, kaufte sie auch etwas Kleinigkeit den anderen. Aber ihre Mutter und Vater waren ganz anders. Sie waren schon Erwachsene. Sie lernten und üben ihre eigene Traditionen in ihrem Heimatland. So sie übten auch in Ungarn diese Traditionen, und auch die budhische Religion.",1031_0003236.txt
German,B2,Italian,B2,B2,C1,B2,B2,B2,B2,Au-pair-Argentur & Partner                                          29.07.2011,1023_0108814.txt
German,B1,not reported,B1,B2,C1,B1,B1,B1,B2,"Lieber Michael,",1061_0120449.txt
German,A1,not reported,A1,A1,A2,A1,A1,A1,A1,"Hallo, Maria,",1071_0024797.txt
German,C1,Turkish,C1,C1,C2,C1,C1,C2,C1,"Man kann es nicht ablehnen, dass die deutsche Sprache von weniger Menschen in der Welt gesprochen ist als die englische, spanische oder französische Sprache. Ob diese Wahrheit Deutschlernen relativ inattraktiver macht ist aber ein anderes Thema.",1031_0002040.txt
German,A1,English,A2,A2,A2,A2,A2,A1,A2,"Liebe Ingo,                                          06.03.2012",1071_0024803.txt
German,B2,Polish,B2,B2,C2,B2,B2,B2,B2,"Maria Müller                                 Stadt X, den 07.07.2010",1023_0103837.txt
German,A2,not reported,B1,B1,B1,A2,B1,B1,A2,"Liebe Eva,                                                   12.03.2012",1091_0000237.txt
German,A1,not reported,A2,A2,A2,A2,A2,A2,A2,Liebe Daniela,1071_0248314.txt
German,B2,Russian,B2,B2,C1,C1,B2,C1,C1,Maria Meier,1023_0109890.txt
German,A2,not reported,B1,B1,B1,B1,B1,B1,B1,Liebe Julia                                                      24.10.2012,1091_0000268.txt
German,A1,not reported,A2,A2,A2,B1,A2,B1,A2,Hallo Liebe Daniela.,1071_0248344.txt
German,B2,Russian,B1,B1,B2,B1,B1,B1,B1,Maria Winkelmann                                          03.10.2011 Stadt X,1023_0109518.txt
German,A1,Portuguese,A1,A1,A2,A1,A1,A1,A1,MORGEN,1071_0248340.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B1,"Stadt X, 17.4",1061_0120453.txt
German,A1,French,A2,A2,A2,A2,A2,A2,A2,"Hallo Daniela,",1071_0024816.txt
German,A2,Russian,B2,A2,B1,B1,B1,B1,B1,Hallo liebe Julia.,1091_0000022.txt
German,B1,not reported,B1,B1,B1,B1,B1,A2,B1,"Liebe Susana,",1061_1202919.txt
German,A1,Turkish,A2,A2,A2,A2,A2,A2,A2,Liebe Daniela                         30.05-2012,1071_0248312.txt
German,B2,French,B2,B2,C2,B2,B2,B2,B2,Maria Müller,1023_0109716.txt
German,A1,not reported,A1,A1,A2,A1,A1,A1,A1,Stadt X 26.04.2012,1071_0024776.txt
German,B2,French,B2,B1,C1,B2,B2,B2,B2,Julia Müller,1023_0108933.txt
German,A1,Arabic,A2,A1,A2,A2,A2,A1,A2,"Lieber Jens,",1071_0243581.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B1,Stadt X 13.3.2012,1061_0120428.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B2,"Lieber Michael,",1061_0120459.txt
German,B2,Russian,B2,B1,C1,B2,B2,B2,B2,Eva Meier,1023_0109505.txt
German,A1,Turkish,A1,A1,A2,A1,A1,A2,A2,"Lieber Ingo,",1071_0024769.txt
German,B2,Arabic,B1,B1,B2,B1,B1,B1,B1,Julia Meier,1023_0109399.txt
German,B1,English,B2,B1,C1,B2,B2,B2,B2,"Stadt X, 8.3.12.",1061_0120481.txt
German,C1,other,B2,B2,C1,C1,B2,C1,B2,"Eine Wohnung oder ein Haus ist wichtig für jede Person in der Welt, weil wir es bauchen. Früher waren die Wohnugnspreisen günstiger als heute. Ich lsebe in einer kleinen Stadt neben Stadt X. Diese Stadt hat ca. 10000 Einwohner. Die Leute in meiner Stadt  wohnen nicht nur in den Wohnungen, sonder auch in den Häusern. Unser Wohnmarkt ist nicht groß. Wir haben keine viele Möglichkeiten, etwas so Interessantes zu mieten oder kaufen. In meiner Stadt ist es wichtig, dass wir eine Wohnung oder ein Haus haben. Es gibt aber Unterschied, ob wir eine Wohnstelle im Zentrum kaufen wollen oder  an der Periferie. Wenn jemand  eine Wohnung im Zentrum kaufen wollte, muss er 2000 € pro 1 m² zahlen. Das bedeutet, dass die Wohnungen in meiner Stadt sehr teuer sind. Ich würde allen vorschlagen, dass sich ein Haus neben der Stadt versuchen zu kaufen. Ich denke, dass  solch ein Haus weniger kostet und sie haben ein Garten,  wo ihre Kinder spielen können. Es gibt noch einen Vorteil: Die Luft ist frich. Wenn  jemand eine Wohnung oder eine Haus mieten möchte, ist die Situation hier  unterschiedlich. Um eine Wohnung im Zentrum zu mieten, muss man ca. 200 € pro Monat ausgeben. Ich finde es für günstig, wenn sie hier ein Jahr planen zu bleiben. Wenn Sie einen Wunsch haben, mehr als ein Jahr in dieser Stadt stehen zu bleiben, schlage ich ihren vor, dass sie ein Haus am Land in der Nähe von meiner Stadt versuchen zu kaufen. Dieser Vorschlag ist nicht schlecht, weil es gibt viele Häuser, am Dorf, die Leute verkaufen wollen. Sie hatten keine Kinder und leben jetzt in der Stadt. Deswegen wollen sie ihr Haus verkaufen.",1031_0003161.txt
German,B2,not reported,B2,B2,B2,B2,B2,B2,B2,"Maria Meier, Bahnhofsstraße 6, 12345 Stadt X",1023_0104209.txt
German,C1,Spanish,B1,B1,B2,B2,B1,B2,B1,"Meiner Meinung nach es ist, dass Jedes Land ihre traditionen behalten muss. Es ist wichtig, dass Jeder ihre Traditionen zeigen kann. Ich glaube, dass wenn Jemand ins Ausland geht, dann kann man die Traditionen immer noch machen und zeigen. Aber ich finde es wichtig, dass die Personen ihre Traditionen nicht lassen müssen aber ich finde auch gut, wenn eine Person in ander Land geht, dann die Traditionen von diesem Land Respektiere sowie übungen.",1031_0001951.txt
German,B2,Russian,B2,C1,C2,B2,C2,B2,B2,Julia Meier,1023_0107727.txt
German,B1,Polish,A2,A2,B1,A2,A2,A2,A2,Stadt X 27.02.12,1061_0120291.txt
German,B1,Turkish,B1,B1,B2,B1,B1,B1,B2,Stadt X 13.02.2012,1061_0120490.txt
German,B1,not reported,B1,B1,B1,B1,B2,B1,B2,"Stadt X, 08.03.2012",1061_0120488.txt
German,A1,not reported,A1,A1,A1,A1,A1,A1,A1,Lieber Grüße                                     Stadt X 26-04-12,1071_0024774.txt
German,B2,other,B2,B1,C1,B2,B1,B2,B2,Julia Winkelmann,1023_0108815.txt
German,A2,Russian,B1,A2,B1,A2,A2,A2,A2,"Liber Michael,",1091_0000113.txt
German,C1,French,B2,B2,B2,C1,B2,B2,B2,"Man solltet sich an das Gastland orientieren. Also wen ich persönlich in einen Fremden Land auswanderen oder nur reise, dann orientiere mich an die neue und fremde Kultur. So kan man sich einpassen. Es ist wie wen Ausländer hier in die Schweiz kommen, sie müssen sich auch an uns anpassen. Wie überal gibt es regeln und man muss sie follgen. Religiös ist etwas anderen, wen ich Katolisch geboren bin dann bleibe ich es auch aber ich baue keine Kirchen in einem Musulmanischen Land. Es ist haber für mich kein problem wen man sein Religion follgt, es ist auch für mich egal wen sich Frauen hier in die Schweiz mit Kopftücher nach draussen gehen. Wen ich selber in einen anderen Land gehe, passe ich mich an die Kultur an aber nicht an die Religion. Sich an die Kultur anpassen heisst es nach meinen Meinung, an die Relgel wie auch an das Regierung anordnen. Es heisst aber auch sich unter die Population klar kommen und die Sprache solltet man auch beherschen.",1031_0002195.txt
German,B2,other,B2,B1,B2,B2,B2,B2,B2,Tobias Meier,1023_0109392.txt
German,A2,not reported,A2,B1,B1,B1,A2,B1,B1,Sr. Maria Katharina,1091_0000213.txt
German,A2,not reported,B1,A2,B1,A2,A2,A2,B1,12.3.12,1091_0000219.txt
German,B2,French,B2,B2,C2,B2,B2,C1,C1,Stefan Schmidt,1023_0108955.txt
German,A2,not reported,A2,A2,B1,B1,B1,A2,A2,Wohnungsamt                  Stadt X 10.03.2012,1091_0000203.txt
German,C1,Russian,B2,B2,B2,C1,B2,B2,B2,"Ich möche über das Thema „Ist es Deutschlernen sinnvoll?"" paar Zeilen schreiben. Meiner Meinung nach ist es sehr wichtig Deutsch zu lernen, wenn man in einem deutschsprechenden Land lebt, wenn man mit deutschsprechenden Personen arbeitet, oder viel reist.",1031_0003173.txt
German,B1,not reported,A2,A2,A2,B1,B1,B1,B1,Stadt X 5./3/2012,1061_0120404.txt
German,A2,Polish,A2,A2,B1,B1,A2,B1,B1,Stadt X 04.01.2012,1091_0000035.txt
German,A2,not reported,B1,A2,B1,A2,A2,A2,A2,"Stadt X, 10.3.12",1091_0000191.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B1,"Stadt X, den 12.03.12",1061_0120857.txt
German,A1,not reported,B1,B1,B1,B1,B1,B1,A2,"Lieber Ingo,                                 29.05.2012",1071_0248330.txt
German,A1,Turkish,A2,A2,B1,A2,A2,A2,A2,"Lieber Ingo,",1071_0243591.txt
German,A1,not reported,A2,B1,B1,B1,B1,A2,A2,"Liebe Daniela,",1071_0248301.txt
German,A1,not reported,A2,A2,B1,B1,A2,B1,A2,Hallo Dolly!!,1071_0024826.txt
German,B1,Turkish,B2,B1,B2,B2,B2,B2,B2,"Lieber Silke,",1061_0120367.txt
German,C1,Polish,B2,B2,C2,B2,B2,B2,B2,"Wegen guter Möglichkeiten und guter Chancen, um eine Karriere in Stadt X zu machen, kommen Ausländer gerade zu dieser Stadt.",1031_0003072.txt
German,B1,Russian,A2,A2,A2,A2,A2,A2,A2,Libe Silke.,1061_0120348.txt
German,C1,French,B2,B2,B2,C1,C1,B2,B2,"Patriotismus ist ein sehr starkes Gefühl dass alle Menschen sicherlich kennen. In diesem Artikel geht es um folgendes Problem ob im Ausland die Traditionen seines Heimatland fortzusetzen, oder im Gengensatz neue Traditionen kennenlerne.",1031_0003023.txt
German,B1,Russian,A2,A2,B1,B1,A2,A2,A2,Liebe Silke!,1061_0120309.txt
German,B2,Spanish,B1,B1,B1,B1,B1,B2,B1,Friedrich Winkelmann                            16/0111/2011,1023_0107682.txt
German,B1,not reported,A2,A2,A2,A2,A2,A2,A2,"Deutschland, den Stefan",1061_0120391.txt
German,B1,not reported,B1,A2,B2,B1,A2,B1,B1,"Lieber Michael,                                     Stadt X 22.02.12",1061_0120297.txt
German,B2,Russian,B1,B1,B2,B2,B2,B1,B2,Maria Winkelmann,1023_0107725.txt
German,B1,Russian,B2,B2,B2,B2,B2,B2,B1,"Liebe Silke, ich würde gern dich mal besuchen. Sobald ich Uhrlaub bekomme, komme ich zu dir. Silke, ich verstehe dich gut. Du schreibst, das ihr jetzt eine Katze im Haus habt. Es ist fiel Arbeit, aber auch Spaaß. Ich mag Katzen, aber habe keine Zeit mich mit ihr zu beschäftigen. Es ist wunderbar ein Tier  zum Geburtstag zu bekommen, ich wünsch mir aber lieber Parfühm. Danke, daß du dir Gedanken um mich und meine Familie machst. Uns geht es gut. Wir sind alle gesund. Das wünschen wir auch deine Familie.",1061_0120311.txt
German,B2,Polish,B2,B1,B2,B2,B2,B2,B2,Friedrich Meier                                           22.03.2010,1023_0101752.txt
German,C1,Hungarian,B2,B1,C1,B2,B2,B2,B2,"Diese Thema ist Traditionen für besonders wichtig, weil wir uns die unsere Gewohnheiten kennenlernen müssen.",1031_0003220.txt
German,A1,Russian,B1,B1,B2,B1,A2,B1,B1,"Lieber Jens,",1071_0024881.txt
German,B1,Arabic,A2,A2,A2,A2,A2,A2,A2,"Lieber Michael,                                    Stadt X, 12.03.2012",1061_0120433.txt
German,B2,other,B1,B1,B1,B1,B1,B1,B1,"Müllergasse 12,",1023_0109915.txt
German,B1,Russian,B1,B2,B2,B1,B2,B1,B2,"Stadt X, 17.04.12",1061_0120457.txt
German,B1,not reported,B2,B1,C1,B2,B2,B2,B2,"Stadt X, den 26.03.12",1061_0120880.txt
German,B2,Spanish,B2,B2,B1,B2,B2,B2,B2,Eva Meier,1023_0101847.txt
German,B1,French,B1,B1,B1,B1,B1,B1,B2,Lieb Dana .,1061_0120275.txt
German,B2,Polish,C1,C1,C2,C1,C2,C1,B2,Friedrich Müller,1023_0103833.txt
German,C1,Russian,B2,B2,C1,C1,B2,C1,B2,"Ist es sinnvoll, auch im Ausland die Traditionen fortzusetzen, oder sollte man sich an der Kultur des Gastlandes orientieren?",1031_0001949.txt
German,C1,Hungarian,B2,B2,B2,B2,B2,B2,B2,"Die verschiedene Traditionen und Kulturen können zusammen leben? Es ist eine sehr große Probleme im vielen Ländern. Aber, wenn man im Ausland liebt, muss man der Gastland respektieren. Meiner Meinung nach ist es wichtig im Ausland an der Kultur des Gastlandes orientieren. Wenn man nicht orientiert, dann bekommt man viele Probleme. Zum Beispiel von den Arbeitsplatz, wo man im Ausland arbeitet. Diese Probleme und Konflikte stört mich sehr und desswegen denke ich so, dass es besser die ausländische Kultur und Traditionen respektieren. Ich weiß, dass es im Erstmal einbischen schwehr ist, aber man muss lernen. Es ist leichter unsere Traditionen im Ausland zu üben, wenn man mit ihre ganzen Familie im Ausland lebt. Alle wissen, dass es sehr viele Kulture und Traditionen gibt im Welt, aber ich glaube es ist nicht schwehr eine neue Tradition zu respektieren.",1031_0003219.txt
German,A2,Arabic,A2,B1,B1,A2,A2,B1,B1,"Stadt X,05.01.2012",1091_0000015.txt
German,A2,Russian,A2,A2,B1,B1,B1,A2,B1,Stadt X 04.01 2012,1091_0000038.txt
German,B1,Arabic,B1,B1,B1,B1,B1,B1,B1,Stadt X 24.2.2012,1061_0120316.txt
German,B1,not reported,A2,B1,B1,A2,A2,B1,B1,Liebe Dana,1061_0120273.txt
German,B2,Russian,B2,B2,B2,C1,B2,C1,C1,"Maria Müller                      Stadt X, 05.03.2010",1023_0101693.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,B1,Liebe Silke                                         Stadt X 24.02.2012,1061_0120315.txt
German,A1,Spanish,A2,A1,A2,A2,A2,A1,A2,"Stadt X, 14.03.2012",1071_0024843.txt
German,A1,Turkish,A1,A1,A2,A1,A1,A1,A2,"Lieber Jens,",1071_0024837.txt
German,C1,Spanish,B2,B2,B2,B2,B2,B1,B2,Kuba: ohne Musik und Tanz geht gar nichts,1031_0003407.txt
German,B1,Russian,B1,A2,B1,B1,B1,B1,B1,Liebe Silke!!!,1061_0120313.txt
German,A1,Chinese,A2,A2,B1,A2,A2,A1,A2,"Hallo Ingo,",1071_0248322.txt
German,B2,Polish,B2,B2,C1,C1,C1,B2,B2,Maria Winkelmann,1023_0101907.txt
German,B2,Arabic,B1,B1,B1,B2,B2,B2,B1,Michael Meier,1023_0101896.txt
German,A1,Spanish,A2,A2,B1,B1,B1,A2,B1,"Liebe Daniela,",1071_0248311.txt
German,C1,Hungarian,B2,B2,B2,B2,B2,B2,B1,"Hallo Miteinander,",1031_0003242.txt
German,B1,not reported,B1,B1,B2,B1,B1,B1,B2,Stadt X 08.01.2012,1061_0120489.txt
German,B2,Russian,B2,B1,B2,B2,B2,B1,B1,Eva Müller                                        22.03.10 Stadt X,1023_0101845.txt
German,C1,German,B2,B2,B2,B2,B2,C1,B2,"Hiermit finden sie die wichtigsten Informationen über den Wohnungsmarkt meiner Stadt. Wenn man die Wohnung in meiner Stadt mieten will, muss er zu erst in Bewolkerungsdients meiner Stadt sich anmelden. dann bekommt er eine Aufenthalsberechtigung. Bei der suche nach eine Wohnung ist es wesentlich eine Wohnungsvermittlersagentur besuchen, dort gibt es möglichkeit schneller und günstiger eine Wohnung, die mit ihre Bedurfnisse entprechen.",1031_0003099.txt
German,B2,other,B2,B2,B2,B2,B2,B2,B1,Reaktion auf eine Werbeanzeige,1023_0109588.txt
German,C1,Russian,B2,B2,B2,C1,B2,B2,B2,"Abgesehen davon, dass die Deutsche Sprache, grob geschätzt, von weniger Menschen weltweit gesprochen wird, als English, Französich oder Spanish, halte ich Deutschlernen für nutzlich. Mit diesem Thema wuerde ich mich gerne auseinandersetzen. In Vergleich zum Französische Sprache, die nur in Frankreich und einige Afrikanishe Länder gesprochen wird, sprechen Deutsch außer Deutschland auch Österreich und die Schweiz, was zusammen einen grössen Anzahl der Menschen gibt. Was Weltwirtschaft und Politik betrifft, steht Deutschland sehr wahrscheinlich auf die erste Stelle in Europa. Deutschlernen ist für alle Länder, die mit Deutschland im Kontakt und Partnerschaft bleiben wollen, wichtig. In Polen und Czech wird Deutsch häufiger als Englisch gesprochen. In meiner Heimatland gewinnt Deutsch den zweite Platz (nach Englisch) in Popularität. Immer mehr Menschen verstehen, dass in Zukunft unsere Partnerschaft und Kolloboration mit Deutschland sich verstärken wird, und lernen Deutsch sehr gerne und nicht ohne Erfolg. Uns ist sicher bewusst, dass diese Sprache für unsere Land nutzlicher und wichtige als andere ist. Das muss man nicht untertreiben. Meine eigene Meinung nach, ist Deutsche Sprache sehr attraktiv für Linguisten. Es gibt darin Logik und Ordnung, die in seltene Sprache man finden kann. Logik in Sprache trainiert allgemeine Linguistische- und Kommunikationsfähigkeiten, deshalb wäre es nutzlich, Deutsch wie Englisch in die Grundschule lernen anzufangen.",1031_0003131.txt
German,B1,English,B1,B1,B1,B1,B1,B1,B1,"2012, den 27",1061_0120370.txt
German,A2,Russian,A2,A2,B2,A2,A2,A2,A2,"Stadt X, den 04. Januar 2012",1091_0000036.txt
German,B1,not reported,A2,A2,B1,A2,A2,A2,A2,"Stadt X, den 28.2.2012",1061_0120336.txt
German,A2,not reported,A2,B1,B2,B1,B1,B1,B2,13.03.2012,1091_0000265.txt
German,B2,other,B2,B1,C1,B2,B1,B2,B2,Maria Schmidt,1023_0108908.txt
German,A2,Russian,A2,A2,B1,A2,A2,A2,A2,Guten Tag,1091_0000001.txt
German,B1,not reported,A2,A2,A2,B1,A2,A2,B1,Stadt X. 28.02.2012.,1061_0120354.txt
German,B1,not reported,B1,B1,B1,B1,B1,B1,B1,28.02.2012,1061_0120351.txt
German,A1,not reported,B1,B1,B1,B1,B1,A2,B1,Von: Michael Stefan                                 29.05.2012,1071_0248334.txt
German,A1,Russian,A2,A2,B1,A2,A2,A2,A2,"Hallo, Ingo",1071_0024706.txt
German,B2,Polish,A2,A2,B1,B1,A2,A2,A2,Maria Müller,1023_0103828.txt
German,A1,not reported,A2,A2,A2,A2,A2,A1,A2,"Hallo Lieber Jens,",1071_0243622.txt
German,C1,Italian,B2,B2,C1,C1,B2,B2,B2,"In der heutigen globalisierten Gesellschaft, man muss wenigstens zwei, am besten drei, verschiedene Sprachen beherrschen, um mehr Chancen einen guten Arbeitsplatz zufinden.",1031_0003205.txt
German,C1,Hungarian,B2,B1,B2,B2,B2,B2,B2,"Stadt X den, 01.10.2011.",1031_0003233.txt
German,B2,not reported,B2,C1,B2,C1,C1,B2,B2,20 Merz,1023_0101898.txt
German,B2,Polish,B2,B1,B2,B2,B2,B2,B2,Au-pair-Agentur Schultz & Partner,1023_0109649.txt
German,B2,Portuguese,B1,B1,B2,B2,B2,B1,B1,Julia Winkelmann Meier Müller,1023_0101897.txt
German,A2,Turkish,A2,A2,A2,A2,A2,A2,A1,07.02.12,1091_0000190.txt
German,C1,Portuguese,B2,C1,B2,C1,B2,C1,B2,Wohnungsmarkt in Stadt X,1031_0003097.txt
German,C1,Russian,B2,B2,B2,C1,C1,B2,B2,"Schon als Kind möchte ich Deutsch lernen, weil ich mich für Kultur und Leben deutschsprachiger Ländern interessiere. Meine erste Märchen, die meine Eltern von Bruders Grimm und Hofmann. Wäränd Musikunterrichten in Schule hörte ich gerne Werke von berümten deutschen und österreichische Komponisten. Auch alte geschischtliche Verbindungen zwischen meiner Heimat und deutschsprachige Länder machte meine Interesse zu der Sprache noch grösser.",1031_0003029.txt
German,B2,other,B2,B2,C1,B2,B2,B2,C1,Katharina Meier,1023_0108649.txt
